Portfolio,Current Holding,Holding Name,Holding Sector,Holding Quant,Holding Score,Holding Val,Holding Growth,Holding Profit,Holding Mom,Holding Rev,Holding Analyst,Holding Upside,Holding FSI,Alt Ticker,Alt Name,Alt Quant,Alt Score,Alt Val,Alt Growth,Alt Profit,Alt Mom,Alt Rev,Alt Analyst,Alt Upside,Alt Div Yield,Alt FSI,Score Diff
Power,CCL,Carnival Corporation & plc,Consumer Cyclical,Hold,3.24,B,B+,B+,C,B-,Buy,+57.6%,,SON,Sonoco Products Company,Buy,3.81,A-,A,B-,A,C-,Buy,+22.8%,402.0%,,0.58
Power,UNFI,"United Natural Foods, Inc.",Consumer Defensive,Hold,3.29,B+,C-,D+,A,A,Hold,+9.7%,,COKE,"Coca-Cola Consolidated, Inc.",Buy,3.95,B-,B,B+,A+,A,None,N/A,48.0%,,0.65
Power,UNFI,"United Natural Foods, Inc.",Consumer Defensive,Hold,3.29,B+,C-,D+,A,A,Hold,+9.7%,,PRDO,Perdoceo Education Corporation,Buy,3.84,B,A-,A-,A-,C+,None,+20.1%,172.0%,,0.55
Power,UNFI,"United Natural Foods, Inc.",Consumer Defensive,Hold,3.29,B+,C-,D+,A,A,Hold,+9.7%,,LRN,"Stride, Inc.",Buy,3.69,B+,A+,B+,B-,B-,Buy,+26.8%,0.0%,,0.40
Power,MFC,Manulife Financial Corporation,Financial Services,Hold,3.10,B,D+,B-,B+,B+,Buy,+2.9%,,ECPG,"Encore Capital Group, Inc.",Buy,4.29,A-,A+,A-,A+,C+,Buy,+23.5%,0.0%,,1.19
Power,MFC,Manulife Financial Corporation,Financial Services,Hold,3.10,B,D+,B-,B+,B+,Buy,+2.9%,,JXN,Jackson Financial Inc.,Buy,4.15,A,A+,C-,A-,A+,None,+19.7%,344.0%,,1.05
Power,MFC,Manulife Financial Corporation,Financial Services,Hold,3.10,B,D+,B-,B+,B+,Buy,+2.9%,,BBT,Beacon Financial Corporation,Buy,3.94,B-,A+,C,A,A,None,+20.2%,448.0%,,0.84
Power,WLDN,"Willdan Group, Inc.",Industrials,Hold,2.90,B-,A,B-,D+,C+,Strong Buy,+81.4%,,FIX,"Comfort Systems USA, Inc.",Buy,3.72,D+,A,B+,A+,B-,None,+23.5%,16.0%,FSI-SM,0.82
Power,WLDN,"Willdan Group, Inc.",Industrials,Hold,2.90,B-,A,B-,D+,C+,Strong Buy,+81.4%,,FTAI,FTAI Aviation Ltd.,Buy,3.95,D+,A,A,A,A-,Strong Buy,+40.9%,57.0%,,1.05
Power,WLDN,"Willdan Group, Inc.",Industrials,Hold,2.90,B-,A,B-,D+,C+,Strong Buy,+81.4%,,VRT,Vertiv Holdings Co,Buy,3.91,D,A,A-,A+,A-,Strong Buy,+0.9%,9.0%,,1.01
Power,TTMI,"TTM Technologies, Inc.",Technology,Buy,3.55,C+,A-,C+,A,B+,None,+30.9%,,ADEA,Adeia Inc.,Buy,3.98,B,A,A,A,C,Strong Buy,+32.3%,87.0%,,0.43
