ticker,name,sector,industry,quant_rating,quant_score,val_grade,growth_grade,profit_grade,mom_grade,rev_grade,val_s,growth_s,profit_s,mom_s,rev_s,analyst_label,num_analysts,upside,div_yield,price,market_cap,pe_ttm,pe_fwd,rev_growth,earn_growth,roe,net_margin,mom_3m,mom_6m,mom_12m
FWONA,Formula One Group,Communication Services,Entertainment,Hold,2.666991478170706,C,N/A,C+,C+,B-,30.889124507047296,,43.93939393939394,40.769230769230774,54.54545454545454,Strong Buy,6,39.78494193548387,0.0,77.5,19411795968.0,33.549786,17.384205,,,0.0769,0.123830006,-9.080241738320538,-16.15276453086818,
MUR,Murphy Oil Corporation,Energy,Oil & Gas E&P,Hold,2.6668753399614085,B,D+,C,C+,A,55.438193981847235,9.334415584415584,30.43745727956254,38.31168831168831,87.01298701298701,Hold,15,-8.986175115207363,3.82,34.72,4959070208.0,48.22222,16.390425,-0.084,-0.762,0.02615,0.03875,5.203170599092322,37.2963344636116,
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,Hold,2.6665033691324718,C,C-,C,B,B,31.85786304176397,22.483766233766232,33.84142173615858,61.03896103896105,58.44155844155844,Buy,24,-5.230913337056398,3.71,196.97,393812672512.0,29.664158,21.154799,-0.082,-0.238,0.07231,0.06661,31.36307020541429,27.088917070429417,
FUL,H.B. Fuller Company,Basic Materials,Specialty Chemicals,Hold,2.6662884715701614,B+,C,B-,C-,B-,70.37224616088209,25.0,48.87747336377473,19.996194824961947,52.054794520547944,None,7,29.682260397830042,1.7,55.3,3012491264.0,20.10909,10.811213,-0.031,,0.07935,0.04375,-6.90212612101162,-12.614837310833337,
FERG,Ferguson Enterprises Inc.,Industrials,Industrial Distribution,Hold,2.663741077013775,B-,B-,C+,C+,C-,51.052751738964616,50.23522964617325,41.2568306010929,40.534979423868315,19.672131147540984,Buy,22,25.856933509306867,1.62,219.73,44117655552.0,21.648275,17.756691,0.036,0.117,,0.06125,-4.273895753510204,-1.536355627615238,
SCSC,"ScanSource, Inc.",Technology,Electronics & Computer Distribution,Hold,2.6634947806023463,A,C,C-,C+,C-,94.99111355949114,26.19004688063469,22.783104431199792,37.254015530262734,23.20675105485232,None,3,43.71813630041726,0.0,35.95,788833024.0,11.095679,7.794038,0.025,0.071,0.08158,0.02444,-14.83060701315071,-20.81498063495045,
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,Hold,2.6624336295164026,A,D+,B,D+,B-,91.23685418750877,10.888317191283294,58.672514619883046,8.93854748603352,47.77777777777778,Buy,7,59.55983493810177,0.0,18.175,835180736.0,8.953201,5.2083483,-0.018,-0.31,0.12898,0.13626,-29.307659870837398,-36.62831308715147,
FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,Hold,2.6575542412563635,C+,C+,A-,C,D+,36.299361007012195,40.70388796756956,83.08737264587835,31.097560975609756,10.975609756097562,Sell,1,-0.7299270072992692,0.0,34.25,3206899456.0,17.211056,17.094742,-0.009,0.048,0.37949002,0.15713,-3.6025860491802897,-15.117716740518327,
NMR,"Nomura Holdings, Inc.",Financial Services,Capital Markets,Hold,2.656292238994836,B+,C,C+,B-,D,71.59422303420577,30.30811026913082,40.890294131993564,49.2,3.6585365853658534,None,1,30.161281708945253,5.29,7.49,21915467776.0,9.986667,13.375,0.099,-0.087,0.09928001,0.17627001,-7.758619389631982,-0.7947044929680125,
KKR,KKR & Co. Inc.,Financial Services,Asset Management,Hold,2.6546998690525703,C,B,C+,D,A,30.67306802841786,58.450089952570465,43.53749638229029,3.0,93.90243902439023,Buy,19,67.19561278016215,0.85,83.88,77682900992.0,35.846153,10.566467,0.763,-0.022,0.08558,0.09241,-40.629628637612136,-41.96078702983216,
OC,Owens Corning,Industrials,Building Products & Equipment,Hold,2.6539104099504325,A,F,C,D+,A,85.53511782161632,1.646090534979424,31.164133398575768,14.403292181069958,93.85245901639344,Buy,16,37.79718583212033,2.87,103.05,8469859328.0,,8.731749,-0.168,,-0.04172,-0.05167,-9.553042903775054,-33.355541952847375,
CHCO,City Holding Company,Financial Services,Banks - Regional,Hold,2.653013647031722,C,C+,B+,B-,D+,29.188068996617485,43.854603936106415,65.57793538526576,46.6,13.008130081300814,None,5,11.007541733751381,2.81,118.01,1700365056.0,13.215005,12.607906,0.108,0.129,0.16941999,0.41349,-5.320530429564796,-5.431110520914295,
RCUS,"Arcus Biosciences, Inc.",Healthcare,Biotechnology,Hold,2.652734319011887,C-,A,F,B+,D,19.344815047436448,87.57062146892656,2.3625730994152048,73.18435754189943,7.777777777777778,Strong Buy,10,48.89867841409692,0.0,22.7,2845433088.0,,-6.33489,0.269,,-0.63262004,-1.42915,-10.629919917638587,97.39130434782608,
PPLC,PPL Corporation,Utilities,Utilities - Regulated Electric,Hold,2.6519687092568445,C-,B,B-,N/A,N/A,17.641242937853107,59.42307692307692,46.83333333333333,,,None,0,,0.0,51.09,,,,0.028,0.499,0.08157,0.13061,,,
NOW,"ServiceNow, Inc.",Technology,Software - Application,Hold,2.6511971590565295,C-,B-,B,D+,B+,21.8965911595269,53.24783627839885,64.40306519083404,9.68425344821473,72.9957805907173,Strong Buy,40,67.56351243693017,0.0,112.97,119199506432.0,67.646706,22.55471,0.207,0.034,0.15488,0.13165,-33.82422074366483,-39.799422095418,
